,Customer ID,Customer Name,Customer Email,Loyalty Status
0,CG-12520,Claire Gute,ryanmelton@garza-thompson.com,Gold
1,DV-13045,Darrin Van Huff,jennifer08@yahoo.com,Platinum
2,SO-20335,Sean O'Donnell,stephaniealexander@gmail.com,Bronze
3,BH-11710,Brosina Hoffman,andreajackson@yahoo.com,Bronze
4,AA-10480,Andrew Allen,ronald06@petty-lynch.biz,Silver
5,IM-15070,Irene Maddox,christophercastro@moss.info,Silver
6,HP-14815,Harold Pawlan,tina99@hotmail.com,Platinum
7,PK-19075,Pete Kriz,james09@cameron.net,Platinum
8,AG-10270,Alejandro Grove,mhernandez@gmail.com,Platinum
9,ZD-21925,Zuschuss Donatelli,ihenry@yahoo.com,Bronze
10,KB-16585,Ken Black,victorknapp@yahoo.com,Gold
11,SF-20065,Sandra Flanagan,sandra83@goodwin-barnes.org,Bronze
12,EB-13870,Emily Burns,amber82@hotmail.com,Platinum
13,EH-13945,Eric Hoffmann,webercory@yahoo.com,Platinum
14,TB-21520,Tracy Blumstein,smithlinda@hotmail.com,Bronze
15,MA-17560,Matt Abelman,ythomas@page.com,Bronze
16,GH-14485,Gene Hale,danny09@gmail.com,Platinum
17,SN-20710,Steve Nguyen,jacob79@byrd-pacheco.net,Bronze
18,LC-16930,Linda Cazamias,james77@lawson.com,Platinum
19,RA-19885,Ruben Ausman,carl83@yahoo.com,Platinum
20,ES-14080,Erin Smith,ashleycordova@yahoo.com,Bronze
21,ON-18715,Odella Nelson,jcarpenter@gmail.com,Gold
22,PO-18865,Patrick O'Donnell,millerjeffery@clements.info,Silver
23,LH-16900,Lena Hernandez,matthewdavies@hotmail.com,Silver
24,DP-13000,Darren Powers,davidstanley@prince-allen.com,Gold
25,JM-15265,Janet Molinari,melissa79@hotmail.com,Bronze
26,TB-21055,Ted Butterfield,ifitzgerald@murray-zamora.info,Platinum
27,KM-16720,Kunst Miller,apotts@osborn.net,Gold
28,PS-18970,Paul Stevenson,tcantu@gmail.com,Silver
29,BS-11590,Brendan Sweed,cmiller@gmail.com,Silver
30,KD-16270,Karen Daniels,ibarron@munoz-schwartz.org,Silver
